GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ocbc-assignment,co.arnaldi.receiver,Command,131,0,4,0,23,0,7,0,5,0
ocbc-assignment,co.arnaldi.receiver,OperationClient,63,0,6,0,15,0,6,0,3,0
ocbc-assignment,co.arnaldi,Application,12,0,0,0,4,0,3,0,3,0
ocbc-assignment,co.arnaldi.operation,CommandOperationExecutor,21,0,0,0,8,0,2,0,2,0
ocbc-assignment,co.arnaldi.operation,ExitOperation,16,0,2,0,5,0,4,0,3,0
ocbc-assignment,co.arnaldi.operation,PayOperation,62,182,5,9,2,37,7,9,4,5
ocbc-assignment,co.arnaldi.operation,LoginOperation,54,87,4,2,0,17,6,4,4,3
ocbc-assignment,co.arnaldi.operation,TopUpOperation,54,112,4,6,0,23,6,6,4,3
ocbc-assignment,co.arnaldi.operation,LogoutOperation,41,0,2,0,10,0,4,0,3,0
ocbc-assignment,co.arnaldi.operation,CommandOperation,0,10,0,0,0,4,0,3,0,3
ocbc-assignment,co.arnaldi.service,PayServiceImpl,190,0,14,0,49,0,9,0,2,0
ocbc-assignment,co.arnaldi.service,TopUpServiceImpl,111,0,8,0,25,0,7,0,3,0
ocbc-assignment,co.arnaldi.service,AccountServiceImpl,112,35,4,2,20,10,7,3,5,2
ocbc-assignment,co.arnaldi.service,TransactionServiceImpl,112,0,2,0,27,0,5,0,4,0
ocbc-assignment,co.arnaldi.service,DebtServiceImpl,40,0,2,0,11,0,7,0,6,0
ocbc-assignment,co.arnaldi.dto,DebtDto,21,0,0,0,8,0,4,0,4,0
ocbc-assignment,co.arnaldi.dto,AccountDto,0,27,0,0,0,10,0,5,0,5
ocbc-assignment,co.arnaldi.dto,ActiveAccount,10,0,0,0,4,0,3,0,3,0
ocbc-assignment,co.arnaldi.model,Account,20,43,0,0,8,13,6,6,6,6
ocbc-assignment,co.arnaldi.model,Transaction,30,0,0,0,12,0,9,0,9,0
ocbc-assignment,co.arnaldi.model,Debt,42,0,0,0,18,0,10,0,10,0
ocbc-assignment,co.arnaldi.runner,AppRunner,38,0,2,0,14,0,3,0,2,0
